title	source	publication_year	publication_month	publication_day	abstract	authors
The concept of joint production and ecological economics	Ecological Economics	2001	01	01	Joint production is suggested as one of the conceptual foundations of ecological economics. The notion of joint production springs immediately from the application of thermodynamics, and has a long history in economic analysis. Considerations of joint production give rise to philosophical concerns relating to responsibility and knowledge. The concept of joint production is easily comprehensible, and is also constitutive and supportive of a range of concepts current in ecological economic thought.	Stefan Baumgärtner, Harald Dyckhoff, Malte Faber, John Proops, Johannes Schiller
Economic growth and land-use changes: the declining amount of wilderness land in Norway	Ecological Economics	2001	01	01	The paper presents the evidence and analyses of macroeconomic factors explaining the reduction of wilderness land in Norway. The analysis is at the county level (18 counties) for the years 1988 and 1994, and the regressions are carried out as cross-section models as well as pooled, fixed effects models. Using a new, and probably unique, database that categorizes the total area in Norway into four zones of distance from larger technical installations, wilderness land has been defined in three ways, reflecting different qualities of the same type of natural resource; land as more than 5, 3 and 1 km from closest man-made encroachment, respectively. The explanatory variables comprise GDP per capita, GDP per capita squared, and population density. The main finding from the cross-sections analysis is that the relative amount of wilderness land (wilderness land as a fraction of the total area within each county) is negatively related to the level of economic activity, as measured by GDP per capita. Secondly, the fixed effects model reveals a negative relationship between economic growth and the reduction of wilderness land. These effects are tighter for wilderness land defined within a short distance from existing encroachments. A high level of economic activity and high economic growth per capita is therefore associated with less wilderness land and, hence, the study gives no support for any Environmental Kuznets Curve (EKC) relationships.	Anders Skonhoft, Håvard Solem
Emissions trading and transaction costs: analyzing the flaws in the discussion	Ecological Economics	2001	01	01	Although emissions trading lowers the costs of climate change mitigation, transaction costs (e.g. to find a trading partner) may reduce its cost-effectiveness. Some economists claim that transaction costs for Joint Implementation (JI) and Clean Development Mechanism (CDM) projects will be higher than for International Emissions Trading (IET) transfers, arguing that projects require advance approval whereas permit transfers can be automatically registered and checked annually. However, this article demonstrates the incompleteness of their views by both analyzing empirical data and discussing the theoretical conditions under which transaction costs decrease for JI and CDM and increase for IET.	Edwin Woerdman
Economic valuation of biodiversity: sense or nonsense?	Ecological Economics	2001	01	01	This paper critically evaluates the notion and application of economic, monetary valuation of biological diversity, or biodiversity. For this purpose four levels of diversity are considered: genes, species, ecosystems and functions. Different perspectives on biodiversity value can be characterized through a number of factors: instrumental vs. intrinsic values, local vs. global diversity, life diversity vs. biological resources, etc. A classification of biodiversity values is offered, based on a system of logical relationships among biodiversity, ecosystems, species and human welfare. Suggestions are made about which economic valuation methods can address which type of biodiversity value. The resulting framework is the starting point for a survey and evaluation of empirical studies at each of the four levels of diversity. The contingent valuation method is by far the most used method. An important reason is that the other valuation methods are unable to identify and measure passive or nonuse values of biodiversity. At first sight, the resulting monetary value estimates seem to give unequivocal support to the belief that biodiversity has a significant, positive social value. Nevertheless, most studies lack a uniform, clear perspective on biodiversity as a distinct concept from biological resources. In fact, the empirical literature fails to apply economic valuation to the entire range of biodiversity benefits. Therefore, available economic valuation estimates should generally be regarded as providing a very incomplete perspective on, and at best lower bounds, to the unknown value of biodiversity changes.	Paulo A.L.D Nunes, Jeroen C.J.M van den Bergh
Pathways to urban sustainability	Journal of Environmental Policy and Planning	2001	01	01	The concept of sustainable development has become very much in vogue in the past decade. We have also observed a shift in the interpretation of this concept from a global perspective to a meso perspective-that is, at a local, regional or sectoral level. This paper aims at highlighting the urban dimension of environmental issues. After a sketch of urban pollution problems and of tools for economic analysis, the notion of urban sustainability will be advocated as a meaningful analytical and policy concept. Next, the main focus of this paper will be on a typological approach to urban sustainability issues on the basis of three characteristic angles, viz. strong and weak sustainability, absolute and relative decoupling and the spatial ecological footprint. Various methodological issues will also be discussed, while the paper will conclude with some perspectives on policy issues. Copyright © 2001 John Wiley & Sons, Ltd.	Adele Finco, Peter Nijkamp
Risk-indexed herbicide taxes to reduce ground and surface water pollution: an integrated ecological economics evaluation	Ecological Economics	2001	01	01	Public policy toward pesticide use in agriculture can benefit from data coming from models that integrate ecological and economic constraints into cropping decisions and pesticide use. Herein we use such a model to focus on the environmental and economic effectiveness of a specific set of tools used to promote sustainable agriculture with less pesticide runoff - incentive-based instruments created by risk-indexed herbicide input-taxes. We measure risk by health advisory levels and by an ecological economic simulation model that estimates predicted exposure levels. We explore whether this innovative solution of herbicide input-taxes does better at reducing losses to farm net returns, and surface and groundwater loadings than quantity restrictions. Using the integrated CEEPES model, our results suggest that risk-indexed input taxes by information about individual herbicide exposure levels can be a cost-effective tool to reduce predicted groundwater exposures. No single policy, however, was efficient at simultaneously improving groundwater and surface water quality. Instead we construct an efficient policy set. We find exposure-induced taxes were most efficient for small percentage reductions in overall exposure, bans were efficient for medium reductions, and flat taxes were efficient for high reductions.	David W Archer, Jason F Shogren
Fair trade and harmonization of climate change policies in Europe	Energy Policy	2001	01	01	In March 2000, the European Commission presented a Green Paper on greenhouse gas emissions trading within Europe, supporting implementation of a Community-wide scheme in which the design and regulation of all essential elements would be harmonized at the Community level. The present paper analyzes economic arguments used to justify such a coordinated scenario, showing these arguments to be based on misleading rhetoric about fair trade and harmonization. Diverse allocations of emissions allowances across Member States are justified in theory. In practice, too, no empirical evidence or model-based results demonstrate that an uncoordinated European trading scheme would adversely affect competitiveness to any significant extent or substantially increase industrial relocations.	Laurent Viguier
Getting the safe minimum standard to work in the real world: a case study in moral pragmatism	Ecological Economics	2001	01	01	There is growing endorsement of local stake-holder conventions to resolve unusual environmental disputes. The conventions are separate decision-making bodies designed to by-pass conventional institutions. The hazards of a stake-holder convention which is overly-detached from conventional decision-making leads to a discourse that never successfully confronts the value controversies which the stake-holder convention is charged to resolve. A case study uncovers obvious and robust strategic manipulations of stake-holder conventions that intrude on value dialogue. An appeal to the safe minimum standard rules of Ciriacy-Wantrup, updated to engage this question, successfully corrects some of the more egregious stumbling blocks to good faith dialogue in local discourse. The proposed constraints on the stake-holder convention can be quite directive, authoritative and bureaucratic, yet the constraints are necessary to preserve good faith conduct within the dialogue.	Michael C. Farmer
The simple analytics of the environmental Kuznets curve	Journal of Public Economics	2001	01	01	Evidence suggests that some pollutants follow an inverse-U-shaped pattern relative to countries' incomes, a relationship that has been called an 'environmental Kuznets curve'. We present a simple and straight-forward static model of the microfoundations of this relationship, in which the curve depends on increasing returns in the technological link between consumption of a desired good and abatement of its undesirable byproduct. The curve does not depend on the dynamics of growth, political institutions, or even externalities, and can be consistent with market failure or efficiency. We conclude by presenting empirical support for increasing returns to abating some common air pollutants.	James Andreoni, Arik Levinson
Tenure security, private time preference, and use of natural resources among lowland Bolivian Amerindians	Ecological Economics	2001	01	01	To estimate the effect of tenure security and private time preference on the use of different types of natural resources, such as old-growth and fallow forests, fish, and game, we did a survey and a psychological experiment with 443 households in 42 villages of Yuracaré, Mojeño, Tsimane', and Chiquitano Indians in the Bolivian lowlands. Results of multivariate tobit regressions suggest that: (1) among the Yuracaré, Tsimane', and Mojeño rates of private time preference had a small economic and statistical effect on the use of natural resources and (2) tenure security, proxied by residence duration in the village and by conflict with abutters, only affected the consumption of wildlife (principally of game). Results suggest that public policies to improve property rights over natural resources among indigenous people might have greater immediate impact on the conservation of wildlife than on the conservation of forest cover.	R Godoy, K Kirby, D Wilkie
Deforestation, distribution and development	Global Environmental Change	2001	01	01	This paper investigates the role played by distributional factors in mediating the effects of growth and development on forest depletion in tropical developing countries. A key finding of the paper is that the distributional profile of a country significantly determines whether economic development will have either a positive or a negative effect on the rate of forest loss. In countries where levels of inequality are high, development will tend to exacerbate deforestation rates while in countries where distributional profiles are more egalitarian, the negative effects of growth and development on forest cover will be ameliorated.	Gary Koop, Lise Tole
Benefits of water quality policies: the Chesapeake Bay	Ecological Economics	2001	01	01	The Chesapeake Bay is a unique and treasured natural resource. It is the largest estuary on the Atlantic coast and one of the largest estuaries in the world. The Chesapeake drains portions of six states: Virginia, Maryland, Delaware, Pennsylvania, New York, and West Virginia and the District of Columbia. As testimony to its importance, the US Congress issued a directive in 1976 to the Chesapeake Bay Program (CBP) to examine and identify the factors that were altering the conditions of the Bay. Nutrient delivery to the Bay, which has increased dramatically over time, was identified as one of the factors and has been the primary focus of research and policy efforts related to achieving water quality improvements. The purpose of this paper is to estimate the benefits of water quality legislation in the Bay region from 1972, the year the Clean Water Act (CWA) was promulgated, to 1996. Nutrients, nitrogen and phosphorous, are the dominant criteria addressed by this case study. Benefits are assessed from a 'with-without' perspective. That is, 1996 water quality is compared with what it would have been in 1996 without the CWA and related legislation. The US EPA CBP Watershed and Water Quality Models were used to determine the distribution of nutrient loadings from point and non-point sources and characterize water quality. Modeling results indicate that conditions in the Bay are improved in some areas for some pollutants. Total phosphorus has decreased dramatically from 'without' concentrations in all major tributaries and segments of the Chesapeake Bay. The monetized annual boating, fishing, and swimming benefits of water quality improvements in the Chesapeake Bay range from $357.9 million to $1.8 billion. These benefit estimates represent use values for persons living in the District of Columbia, and portions of Maryland and Virginia. Residents of Delaware, New York, and Pennsylvania, which are also part of the Bay Watershed, are not included in this analysis. As such, this range likely underestimates the true benefits of Bay water quality improvement.	Cynthia Morgan, Nicole Owens
Institutions and the Environmental Kuznets Curve for Deforestation: A Crosscountry Analysis for Latin America, Africa and Asia	World Development	2001	01	01	The relationship between deforestation and income across 66 countries of Latin America, Africa and Asia is examined. Institutional characteristics as well as macroeconomic policies of each country are hypothesized to impact deforestation. Results show strong evidence of an environmental Kuznets Curve (EKC) relationship between income and deforestation for all three continents. Institutional structure and macroeconomic policy significantly affect the tropical deforestation process. Improvements in political institutions and governance significantly reduce deforestation. The factors leading to deforestation differ across regions, however, and there is no one-size-fits-all global policy recommendation for restraining the tropical deforestation process.	Madhusudan Bhattarai, Michael Hammig
The safe minimum standard of conservation and endangered species: a review	Environmental Conservation	2001	01	01	The safe minimum standard (SMS) approach is a collective choice process that prescribes protecting a minimum level of a renewable natural resource unless the social costs of doing so are somehow excessive or intolerably high. Arguments for the SMS are typically invoked in settings involving considerable uncertainty and potentially irreversible losses. However, the SMS is most commonly viewed as existing only on the periphery of thought in traditional environmental and resource economics. The specific objectives are: (1) to define the SMS approach generally and examine theoretical support, particularly for its application in endangered species decision settings; (2) to examine the relationship between an SMS approach and benefit-cost analysis (BCA); (3) to examine the relationship between an SMS approach and non-market valuation; (4) to compare an SMS approach to alternative definitions of sustainability; and (5) to review the general consistency of the SMS approach with the USA's Endangered Species Act (ESA) of 1973, as amended. Recent attention on this pragmatic policy approach has been something far greater than cursory, with advances and detailed discussions on theoretical considerations, philosophical underpinnings and case study applications. While the SMS emerges as a fairly coarse policy instrument, its pragmatic value is seen in complex environmental policy applications, such as endangered species protection.	Robert P. Berrens
Stability and outcomes of common property institutions in forestry: evidence from the Terai region of Nepal	Ecological Economics	2001	01	01	The purpose of this paper is to explore the conditions for success of local common property institutions in forestry. The analysis is based on a case study of the Terai (lowlands) region of Nepal. Common property institutions were found to be stable despite the presence of inequality, ethnic heterogeneity, and migration into the region. This is due to the fact that these institutions build upon established systems of authority in the villages, include monitoring and enforcement mechanisms, and benefit from a supportive legal environment. As far as outcomes are concerned, common property serves well to protect forests locally; however, many village residents resort to exploiting forests managed under state property. The impact of common property on poverty alleviation is ambiguous.	Rabindra Nath Chakraborty
African evidence on the relation of poverty, time preference and the environment	Ecological Economics	2001	01	01	It is typically argued in the economics literature that the poor operate with a higher rate of time preference than their wealthier counterparts. The poor, it is suggested, have a higher rate of time preference because they are more concerned about present survival than they are about saving for the future. Such thinking is also central to the economic growth for environmental conservation and the poverty induced environmental degradation arguments. According to these assertions, wealth allows people to consider the future and invest in environmental conservation; and poverty leaves people with no alternative but to exploit the environment so that they may feed their families today. Evidence from the food security and famine early warning fields suggests that households in many African contexts behave quite to the contrary. During periods of food shortage, poor households will often undertake extreme measures in the present, including depriving the family of needed calories, in order to preserve productive capital for the future, such as a plough, oxen or seed stock. This evidence suggests that poor African households may, in fact, have very low rates of time preference. This calls into question our general assumptions about discount rates for developing countries, for which rates of time preference are a theoretical determinant.	William G. Moseley
Evaluating contingent and actual contributions to a local public good: Tsetse control in the Yale agro-pastoral zone, Burkina Faso	Ecological Economics	2001	01	01	In this case study of the Yale agro-pastoral zone in southern Burkina Faso, the sustainability of tsetse control as a local public good was shown to depend upon farmers' contributions to establish and maintain the traps and targets that attract and kill tsetse flies. Contingent valuation (CV) techniques were used to generate estimates of farmers' willingness to pay for tsetse control in money, labour, or both forms of payment. Of the 261 households that participated in the CV survey, these proportions were 23, 37 and 40%, respectively, indicating differentiation among the population and an overall preference for labour contribution. A comparison of predicted versus actual contribution of labour indicated that only 56% of households that said they would contribute actually contributed; 3% of households that said they would not contribute actually contributed. Major factors affecting contingent contributions of labour in discrete choice models were identified as well as those to account for in any successful scheme for actual labour contribution. These factors include the age of household head, offtake of cattle, involvement in secondary activities, membership in rural organizations, current expenditure on drug therapy, and cash-on-hand. The results also indicate that full cost-recovery of the investment in targets-about US$8000-could not be achieved in the short run with the proposed contribution of US$0.90-1.00 per month per household. Contingent contributions of money were interpreted as maximum donations to expect of beneficiaries as part of the total cost of providing tsetse control.	Mulumba Kamuanga, Brent M. Swallow, Hamadé Sigué, Burkhard Bauer
The economic value of a forested catchment with timber, water and carbon sequestration benefits	Ecological Economics	2001	01	01	This paper examines the optimal management strategy for a forested catchment that yields timber, water and carbon sequestration benefits. The Faustmann multiple rotation model is extended to allow for the maximisation of the net present value of these timber and non-timber benefits. The model is applied to the Thomson Catchment in Central Gippsland, Victoria. Carbon sequestration benefits are modelled via total stand biomass accumulation. The cost of carbon release back into the atmosphere upon logging is estimated as a function of rotation age using an adjusted pulpwood/sawlog ratio. The allowance for both non-timber benefits is found to lengthen the optimal rotation, in a large range of cases to infinity.	John Creedy, Anke D. Wurzbacher
Why farmers continue to use pesticides despite environmental, health and sustainability costs	Ecological Economics	2001	01	01	Use of chemical inputs such as pesticides has increased agricultural production and productivity. However, negative externalities from such use have increased too. These externalities include damage to agricultural land, fisheries, fauna and flora. Another major externality is the unintentional destruction of beneficial predators of pests thereby increasing the virulence of many species of agricultural pests. Furthermore, increased mortality and morbidity of humans due to exposure to pesticides are recorded especially in developing countries. The costs from these externalities are large and affect farmers' returns. However, despite these high costs, farmers continue to use pesticides and in most countries in increasing quantities. In this paper, we examine this paradox and show why farmers continue to use pesticides despite the increasing costs. We also emphasize 'lock-in' aspects of pesticide use.	Clevo Wilson, Clem Tisdell
Integrating stakeholder analysis in non-market valuation of environmental assets	Ecological Economics	2001	01	01	This study employs a mixed methodological approach, using questionnaire surveys of individuals and stakeholder focus groups to investigate economic values placed on a wetland surrounding Kalloni Bay on the island of Lesvos, Greece. The questionnaire survey of local people and visitors to the area included a rating exercise of four possible development scenarios, and each individual was then asked their willingness to participate in payment for their chosen scenario, and if they were willing to participate, they were then asked a willingness to pay question. Participants were also asked a series of attitudinal questions concerning the local environment and issues relevant to the area. This information was then combined with qualitative information derived from the focus groups, which elicited opinions from important local stakeholders, such as fishermen, elected representatives, constructors and hotel owners about their priorities for both conservation and development. By combining these methodologies, information and conclusions of greater relevance to policy makers can be obtained than using either methodology in isolation.	Areti Kontogianni, Mihalis S. Skourtos, Ian H. Langford, Ian J. Bateman, Stavros Georgiou
Pesticide taxation and multi-objective policy-making: farm modelling to evaluate profit/environment trade-offs	Ecological Economics	2001	01	01	Many countries in Western Europe have introduced voluntary programmes to encourage farmers to adopt environmentally more benign practices such as integrated pest management, but more policy action appears to be needed to meet the environmental quality levels now demanded. Input taxes could assist in meeting policy objectives. The issue considered here is the identification of the most appropriate specification of a tax instrument to reduce the environmental problems of agricultural pesticide usage. This paper takes a farm systems approach to evaluation. A case-study illustration is given for a specialist arable farm in the UK, combining an economic model of land use and production with a set of environmental indicators for pesticides. Linking these two components allows the identification of the potential trade-offs between achieving reductions in the environmental burden to a number of ecological dimensions and farm income. Different pesticide tax specifications vary in both the magnitude and the direction of their impacts. The results of the model indicate that either compromises will have to be made in environmental policy, or additional instruments will be required to counter-act the negative side-effects of some instruments.	Katherine Falconer, Ian Hodge
Fairness in the contingent valuation of environmental public goods: attitude toward paying for environmental improvements at two levels of scope	Ecological Economics	2001	01	01	Respondents to contingent valuation (CV) surveys give a variety of reasons for not wanting to pay money. This variability is likely to reflect people's attitudes toward paying for the public good change, their attitudes toward paying for public goods in general, and a component that is independent of these attitudes but unique to particular beliefs about paying (e.g. 'I can't afford to pay'). Negative attitudes toward paying can contribute to an apparent insensitivity to different levels of the same public good. In a telephone survey, northern Wisconsin property owners were asked about their WTP for four environmental public goods (biodiversity, Indian spearfishing, water quality, and wolves) at two levels of scope (part and whole). For water quality and spearfishing, the part was a chain of lakes that was geographically nested within a larger region of lakes. Similarly, the biodiversity whole represented a region comprising the smaller level of the public good. The scope conditions for wolves were quantitatively nested levels of returning 300 and 800 wolves to northern Wisconsin. Respondents' beliefs about paying for each public good and level of scope were measured in order to test their generality across the different public goods and levels of scope. Negative attitudes toward paying that are general across public goods place restrictions on the use of CV for environmental public goods. However, negative attitudes that are tied to specific environmental public goods suggest that the valuation method might be difficult to implement in these cases only. Moreover, negative attitudes toward paying that are either general or specific may contribute to perfect embedding when they are expressed across different levels of scope for the same public good. Respondents' beliefs about paying for each public good were associated with an attitude toward paying for the respective good and an attitude toward paying for public goods in general at both levels of scope. The general attitude was more explanatory of beliefs about paying for wolf reintroduction and spearfishing than were the specific attitudes. The distribution of beliefs was sensitive to the type of good being valued, but less so to the scope of the public good change. Contingent valuation practitioners should seek improvements in respondents' perceptions of the fairness of the valuation process in order to facilitate citizens' involvement in decisions about environmental public goods. Avenues for future research are proposed and discussed.	Bradley S Jorgensen, Mathew A Wilson, Thomas A Heberlein
Richard C. Bishop	American Journal of Agricultural Economics	2001	01	01		
When green isn't mean: economic theory and the heuristics of the impact of environmental regulations on competitiveness and opportunity cost	Ecological Economics	2001	01	01	The conventional neoclassical economic wisdom argues that the opportunity costs of environmental regulations are high, with negative implications for costs and profits and, by implication, for growth and per capita gross domestic product (GDP). The minority view that environmental controls induce cost offsets that minimise such opportunity costs is marginalised by the conventional wisdom, which assumes that economic agents are x-efficient in production. A behavioral model of the firm is presented in this paper, whereby x-inefficiency in production prevails even in a world of perfect product market competition that is dominated by rational economic agents. In this model, environmental regulations affect both the level of x-efficiency and the extent of technological change and greener firms can be cost competitive and profitable. However, private economic agents cannot be expected to adopt 'Green' economic policy independent of regulations since, in this model, there need not be any economic advantage accruing to the affected firms in becoming greener.	Morris Altman
Risk-Cost Analysis in Ground Water Contaminant Transport: The Role of Random Spatial Variability and Sorption Kinetics	Groundwater	2001	01	01	We outline a methodology for quantifying the risk (probability) to exceed environmental regulation standards for ground water quality and coupling this risk quantification with an analysis of abatement costs for attaining an acceptable risk level. The methodology accounts for the uncertainty that results from random spatial variability in the subsurface, and for sorption-desorption kinetics. Random spatial variability implies that, with a deterministic regulating framework, the risk (probability) of exceeding given water quality targets may remain high even after abatement measures have been taken. We show how this risk can be set in focus by use of a probabilistic regulating framework, which enables better risk management. Both the environmental risk and the associated abatement costs will depend on the actual combination of subsurface variability, the ground water sampling method, and sorption kinetics, through the underlying quantification of pollutant concentration statistics. Our results emphasize the importance of a relevant account of the kinetics of the sorption-desorption process, by illustrating that neglect, or equilibrium simplification of that process, may result in highly misleading risk and abatement cost estimates.	Charlotta Andersson, Georgia Destouni
The role of domestic timber markets in tropical deforestation and forest degradation in Ecuador: Implications for conservation planning and policy	Ecological Economics	2001	01	01	Studies about the impact of the timber trade on tropical forests have often oversimplified process complexity and underestimated regional variability. This study shows that forest degradation and clearing in Northwest Ecuador between 1983 and 1992 was closely linked to commercial logging. A key finding is that domestic demand is critical for shaping timber extraction and, hence, forest degradation and deforestation in this region. Low timber prices for roundwood and sawnwood at the origin, which are bolstering unsustainable forest extraction, have not been affected by market liberalization. This suggests that conservation initiatives that target international trade linkages may only be partially successful, even when they do what they are intended to do. Results suggest that market-based incentives are more likely to produce the desired results if they target and support timber producers directly. These findings are also relevant for other regions where domestic markets are a significant drive for deforestation and where local markets are supplied through the activities of small-scale, labor-intensive primary producers. Also, by emphasizing areas where logging is a dominant force, meso-level studies, like this one, not only help to more accurately estimate the impact on local forests, but also identify major resource flows and the factors promoting or hindering sustainable use, and those affecting the effectiveness of policy options.	Rodrigo Sierra
Ecological thresholds: a survey	Ecological Economics	2001	01	01	The existence of ecological discontinuities and thresholds has been recognised by ecological economics as a key feature to take into account in the study of environment-economy interactions. This paper reviews some theoretical developments and empirical studies dealing with ecological phenomena involving non-linear dynamics. The literature about this issue reveals that there is abundant evidence of discontinuities and threshold effects as the consequence of human perturbations on ecological systems. However, due to the complexities involved, the predictive capacity of ecology is limited and large uncertainties still remain.	Roldan Muradian
Dynamics of agricultural groundwater extraction	Ecological Economics	2001	01	01	Agricultural shallow groundwater extraction can result in desiccation of neighbouring nature reserves and degradation of groundwater quality in the Netherlands, whereas both externalities are often not considered when agricultural groundwater extraction patterns are being determined. A model is developed to study socially optimal agricultural shallow groundwater extraction patterns. It becomes clear that the current price of groundwater is inefficient and provides fewer incentives for the adoption of modern irrigation technology than does a system that considers the cost of desiccation and groundwater contamination in the price of groundwater. The study shows that including the impact of groundwater extraction on groundwater quality into a resource management model is particularly significant if the recharge of groundwater is large compared with stock size.	Petra Hellegers, David Zilberman, Ekko van Ierland
Income inequality and the environment: aggregation bias in environmental Kuznets curves	Ecological Economics	2001	01	01	The environmental Kuznets curve assumes an inverted U-shaped relation between environmental damage and per capita income. Recently it has been argued in the literature that in addition to income levels, the inequality in the distribution of power and income is (positively) related to environmental degradation. We provide an additional argument, based on simple aggregation, for including a measure of income dispersion in empirical analyses. When the relationship between environmental damage and household income is concave (e.g. resembles an environmental Kuznets curve), then income inequality is negatively related to total environmental damage. Results from an empirical analysis of cross-national variation indicate that the aggregation effect can run counter to and outweigh the political economy effect for some environmental indicators.	Nico Heerink, Abay Mulatu, Erwin Bulte
Trade-off analysis for marine protected area management	Ecological Economics	2001	01	01	This paper outlines an approach to natural resource management that incorporates multiple objectives for protected area management within a decision-making framework. Both regulators and other major stakeholders are directly incorporated into the approach to enhance decision-making processes. We call this approach trade-off analysis. The approach uses a framework based on multi-criteria analysis (MCA) but involves stakeholders at all stages. This holistic approach is appropriate for multiple use, complex systems such as marine protected areas (MPAs), where many different users are apparently in conflict and where linkages and feedbacks between different aspects of the ecosystem and economy exist. The paper applies trade-off analysis to the case of Buccoo Reef Marine Park (BRMP) in Tobago. Stakeholder analysis is undertaken, and social, economic and ecological criteria identified. The impacts of four different development scenarios are evaluated for these criteria. Stakeholders are asked to weight different criteria and then the outcomes of different stakeholder weightings in the MCA are used to explore different management options. For BRMP, the MCA suggests consensus around development options characterised as limited tourism development for the area surrounding the park in association with the implementation of complementary environmental management. The approach has been used to enhance stakeholder involvement in decision-making and develop consensus-based approaches to management of the MPA.	Katrina Brown, W.Neil Adger, Emma Tompkins, Peter Bacon, David Shim, Kathy Young
Towards an Integrated Framework for Development and Environment Policy: The Dynamics of Environmental Kuznets Curves	World Development	2001	01	01	Environmental Kuznets curves (EKCs) have recently received considerable attention in development and environment policy. But little is known on how the interaction between ecological and economic factors may result in an EKC or other qualitatively different outcomes. We introduce a restricted class of vector valued differential equations for representing the evolution of socioeconomic and environmental variables which influence or are influenced by the process of economic development. Our model includes not only the complete path of each variable over time but also the highly critical interactions among multiple variables. We demonstrate analytically and numerically that among a multiplicity of possible outcomes, an inverted-U pattern can only be obtained under specific circumstances, and requires attention to the multiple factors which form the economic-environmental system, rather than a single dominant one.	Majid Ezzati, Burton H. Singer, Daniel M. Kammen
Methodological, conceptual and sampling practices in surveying recreational fisheries in the Nordic countries - experiences of a valuation survey	Fisheries Management and Ecology	2001	01	01	The planning and initial phases of a joint Nordic project for the valuation of recreational fisheries is described. The economic value of recreational fisheries was taken to include non-market value as well as the traditional market value. The design of the survey was similar for each country so as to facilitate future comparison. However, initially there were difficulties in defining categories of recreational fishermen in the different countries. Other background information also had to be adapted to national circumstances. National population registers were used as the sampling frames. The effect of this on the responses from a valuation survey is discussed. Accessibility to population register data varies by country and so do possibilities for random sampling. Legal constraints were faced when implementing a centralised mailing system.	E. Roth, A. L. Toivonen, S. Navrud, B. Bengtsson, G. Gudbergsson, P. Tuunainen, H. Appelblad, G. Weissglas
The use of willingness-to-pay approaches in mammal conservation	Mammal Review	2001	01	01	With limited monetary resources available for nature conservation, policy-makers need to be able to prioritize conservation objectives. This has traditionally been done using qualitative ecological criteria. However, since declines in species and habitats are largely the result of socio-economic and political forces, human preferences and values should also be taken into account. An environmental economics technique, contingent valuation, provides one way of doing this by quantifying public willingness-to-pay towards specific conservation objectives. In this paper, the use of this approach for quantifying public preferences towards the UK Biodiversity Action Plans for four different British mammal species is considered. The species included are the Red Squirrel Sciurus vulgaris, the Brown Hare Lepus europaeus, the Otter Lutra lutra and the Water Vole Arvicola terrestris. Willingness-to-pay for conservation was increased by the inclusion of the Otter among the species, membership of an environmental organization and awareness of the general and species-specific threats facing British mammals. It was reduced by the presence of the Brown Hare among the species being considered. These findings for British mammals are compared with other willingness-to-pay studies for mammal conservation worldwide. Willingness-to-pay tends to be greater for marine mammals than terrestrial ones, and recreational users of species (tourists or hunters) are generally more willing than residents to pay towards species conservation. The choice of technique for eliciting willingness-to-pay from respondents is also shown to be highly significant. Willingness-to-pay values for British mammals derived from contingent valuation are sensitive to the species included rather than merely symbolic. This indicates that, with care, such measures can be used as a reliable means of quantifying public preferences for conservation, and therefore contributing to the decision-making process. However, irrespective of the internal consistency of contingent valuation, the validity of the approach, especially for use in nature conservation, is disputed. Willingness-to-pay is likely to reflect many interrelated factors such as ethical and moral values, knowledge and tradition, and monetary values may not be an adequate representation of these broader considerations. Willingness-to-pay approaches should therefore be used in addition to, rather than in place of, expert judgements and more deliberative approaches towards policy decision-making for conservation.	Piran C. L. White, Alison C. Bennett, Emma J. V. Hayes
Modelling sustainable development: systems dynamic and input-ouput approaches	Environmental Modelling and Software	2001	01	01	This paper discusses alternative approaches to modelling economy-environment systems from the perspective of sustainable development. We distinguish between systems' dynamic methods and economic approaches, including input-output (I/O) models. We then discuss the structure of two models constructed for Scotland. Firstly, a hierarchical, dynamic model is used to look at long-term trends in population, resource use and pollution. Secondly, an environmentally extended I/O model is used to estimate the effects of economic policy and structural change on pollution levels and output. We conclude with some comments on the possible future developments in modelling sustainable development.	I Moffatt, N Hanley
The use of economic and participatory approaches to assess forest development: a case study in the Ettrick Valley	Forest Policy and Economics	2001	01	01	The forest floodplain restoration project in the Ettrick Valley in the Borders Region of Scotland is a nationally important project which aims to expand and create forest floodplain habitats along the Upper Ettrick. The project aims to enhance existing habitats and wildlife whilst ensuring a partnership approach is maintained with the local community. The paper evaluates the project's success in achieving these aims, using two distinct approaches. The first, an economic approach uses the contingent valuation method to estimate the total economic value of the site. Results show that the mean willingness to contribute to this project on a one-off basis, was £10.39 per household. Aggregated over the Borders population, these results suggest that the project has a minimum value of approximately £450000, as compared with an estimated cost of £350000. The second approach uses participatory methodology - a Citizens' Jury. A Citizens' Jury consists of a small group of people, selected to represent the general public, who meet to deliberate upon a policy question. The Jury met to assess the project and to provide qualitative information on its value and importance to the local community. The Citizens' Jury approved of the project, and although they did not place a monetary value upon it, they indicated that they valued the role it played in preserving the natural ecosystem, encouraging wildlife and educating the young. However, they were concerned about visitor access and the future management of the site.	Wendy Kenyon, Ceara Nevin
